PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
64.0,44.25,28.0,976.5,5.5,81.12,60.2,2.88,7.5,4.65,3.15,1.02,7.33,1,0,0,0
66.0,48.75,28.05,976.75,5.5,80.25,43.7,3.27,8.82,5.53,3.1,0.97,6.47,1,0,0,0
62.0,40.25,27.82,977.38,7.95,81.08,61.05,2.8,7.38,4.6,2.95,0.97,4.25,1,0,0,0
58.0,33.75,28.1,977.83,48.98,79.95,65.45,3.17,7.78,4.6,3.6,1.0,7.8,1,0,0,0
58.0,32.0,29.45,977.85,181.93,75.45,58.33,3.63,7.75,4.12,4.25,1.05,9.88,1,0,0,0
60.75,34.75,31.3,978.1,323.7,66.67,91.53,2.48,5.05,2.6,4.43,0.93,7.15,1,0,0,0
44.25,27.75,32.27,978.1,433.88,63.27,107.28,1.92,3.97,2.05,4.3,0.85,15.38,1,0,0,0
55.5,38.0,32.8,978.58,432.6,61.15,64.25,1.82,5.12,3.3,3.72,0.8,14.97,1,0,0,0
69.75,42.75,33.8,978.38,640.4,58.1,63.75,1.93,5.6,3.67,3.22,0.75,14.83,1,0,0,0
70.0,37.75,34.7,977.82,669.73,55.4,63.22,1.92,5.58,3.7,3.15,0.7,14.73,1,0,0,0
61.75,31.25,35.47,977.25,714.25,53.23,78.17,1.88,5.63,3.75,2.78,0.6,14.12,1,0,0,0
54.5,21.5,36.12,976.6,645.18,51.6,89.67,1.58,4.95,3.35,2.53,0.63,4.1,1,0,0,0
52.25,16.25,35.38,975.7,483.58,53.43,91.35,1.52,4.28,2.72,3.3,0.6,15.92,1,0,0,0
50.5,15.0,34.53,975.47,193.05,55.35,97.23,1.58,4.2,2.58,3.55,0.62,14.42,1,0,0,0
52.0,16.5,33.62,975.28,100.9,58.0,106.3,1.18,3.6,2.42,3.2,0.7,23.38,1,0,0,0
53.0,14.0,32.1,975.65,24.18,61.5,116.45,1.45,5.08,3.62,2.55,0.68,20.05,1,0,0,0
60.5,22.25,30.77,976.2,6.05,66.75,130.5,1.5,8.6,7.05,2.25,0.85,13.62,1,0,0,0
78.5,29.25,29.9,977.2,5.5,70.6,140.98,2.48,12.53,10.05,2.5,1.07,9.1,1,0,0,0
97.25,30.75,29.3,977.62,5.5,73.33,135.0,12.45,29.7,17.25,2.55,1.62,6.25,1,0,0,0
115.0,33.0,29.03,978.0,5.5,75.0,93.6,15.3,30.65,15.35,2.92,1.65,12.67,1,0,0,0
119.25,33.75,29.25,978.07,5.5,73.1,41.73,6.9,17.02,10.15,2.92,1.18,9.93,1,0,0,0
114.75,40.25,29.52,978.15,5.5,73.05,30.17,4.77,15.53,10.72,3.15,1.02,12.65,1,0,0,0
107.25,51.25,29.12,977.85,5.5,73.47,52.65,3.68,9.47,5.8,3.35,1.0,64.35,1,0,0,0
75.5,44.5,28.6,977.65,5.53,75.85,52.12,3.5,8.7,5.2,3.35,1.0,14.88,1,0,0,0
64.0,39.0,28.2,977.78,5.5,77.8,56.22,2.5,7.25,4.75,2.12,0.97,8.43,1,0,0,0
54.25,35.75,27.93,977.77,5.5,78.9,62.17,2.12,6.47,4.38,2.35,0.92,6.85,1,0,0,0
59.5,33.25,27.38,977.8,7.7,81.45,69.8,2.42,7.22,4.78,2.3,1.0,7.35,1,0,0,0
55.75,28.0,27.95,978.05,70.65,79.72,94.32,3.53,8.13,4.75,3.2,1.05,7.53,1,0,0,0
56.0,27.25,29.75,978.42,227.95,69.45,107.9,3.12,5.9,2.78,3.48,0.97,4.03,1,0,0,0
46.5,21.75,31.15,979.0,385.55,62.88,106.3,2.7,4.53,1.85,4.17,0.9,6.97,1,0,0,0
37.25,13.25,32.27,979.4,501.97,59.2,94.15,2.42,4.43,2.03,3.8,0.62,13.05,1,0,0,0
42.5,16.75,33.2,979.57,635.97,57.15,72.85,2.0,4.03,2.0,2.8,0.53,15.67,1,0,0,0
49.75,16.25,34.03,979.38,619.0,54.88,92.78,2.12,4.62,2.52,2.48,0.53,13.67,1,0,0,0
60.5,19.75,34.17,978.95,558.12,54.83,92.12,1.8,4.7,2.92,2.88,0.53,15.4,1,0,0,0
65.75,25.5,35.38,978.3,700.73,52.08,99.83,1.55,4.6,3.05,2.97,0.57,13.1,1,0,0,0
59.75,19.0,35.5,977.33,636.15,52.17,128.2,1.18,3.6,2.43,3.13,0.63,12.23,1,0,0,0
62.25,21.25,35.45,976.77,493.47,52.0,121.97,1.03,3.52,2.58,2.98,0.75,18.9,1,0,0,0
66.5,20.0,34.6,976.4,185.28,53.65,96.15,1.25,4.03,2.77,3.25,0.8,21.72,1,0,0,0
82.5,24.5,32.98,976.15,60.53,57.53,98.83,1.38,5.35,4.0,2.95,0.9,25.6,1,0,0,0
106.0,29.0,32.3,976.42,30.25,59.58,91.3,1.6,6.92,5.35,1.93,0.97,24.45,1,0,0,0
134.0,33.25,31.15,977.0,6.12,63.67,102.37,1.98,10.22,8.25,1.42,0.97,14.75,1,0,0,0
153.0,45.75,29.6,977.65,5.6,70.2,152.7,2.38,12.4,10.0,1.47,1.2,9.55,1,0,0,0
159.0,47.5,29.15,978.18,5.55,73.12,122.95,3.92,15.55,11.62,2.33,1.38,6.4,1,0,0,0
186.75,55.0,28.95,978.2,5.55,74.4,133.6,4.8,16.3,11.53,3.48,1.38,3.77,1,0,0,0
159.25,56.5,28.53,978.45,5.53,75.35,130.85,5.18,16.35,11.2,3.67,1.37,7.88,1,0,0,0
149.5,60.5,28.43,978.27,5.57,76.58,126.07,5.72,16.8,11.1,3.82,1.3,13.08,1,0,0,0
139.5,60.0,28.77,977.95,5.53,75.5,83.32,7.52,19.2,11.67,3.82,1.12,59.85,1,0,0,0
128.0,75.0,28.45,977.67,5.53,76.78,98.75,4.3,11.9,7.5,3.82,1.12,15.48,1,0,0,0
134.0,101.75,28.08,977.48,5.53,78.8,106.97,4.25,11.85,7.58,2.95,1.05,8.45,1,0,0,0
