PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
57.5,32.25,32.48,974.83,5.72,81.7,284.2,7.25,22.82,31.82,21.95,0.5,18.87,1,0,0,0
58.75,30.75,32.12,975.1,5.72,84.2,100.67,16.7,33.95,38.38,21.45,0.5,13.75,1,0,0,0
69.75,35.25,31.9,975.7,8.22,86.22,20.0,22.48,39.5,39.73,21.43,0.5,43.3,1,0,0,0
74.25,40.0,32.17,976.12,39.67,84.12,307.23,15.68,32.42,37.02,21.12,0.45,8.95,1,0,0,0
62.0,32.5,33.83,976.17,216.55,74.72,299.18,17.05,30.0,31.07,21.65,0.5,15.07,1,0,0,0
55.25,28.0,34.92,976.4,299.05,66.28,277.95,8.62,22.98,29.97,21.63,0.43,15.07,1,0,0,0
49.75,29.25,35.62,976.35,362.95,63.05,278.2,7.95,30.38,45.1,21.42,0.5,11.7,1,0,0,0
74.25,33.25,36.58,976.75,407.0,60.25,312.98,10.7,40.15,59.83,21.82,0.47,5.52,1,0,0,0
94.25,33.25,37.77,976.5,614.88,55.6,303.27,8.7,38.4,58.65,21.1,0.4,8.8,1,0,0,0
166.25,32.0,36.98,975.88,410.77,58.02,300.6,8.03,41.12,64.92,20.25,0.38,6.9,1,0,0,0
314.5,29.0,37.85,975.4,639.67,53.3,281.93,8.28,43.3,68.9,20.88,0.3,6.9,1,0,0,0
65.5,12.5,37.4,974.72,506.52,54.0,277.6,8.9,46.3,73.5,20.93,0.32,6.9,1,0,0,0
67.0,16.75,38.28,973.9,523.72,51.88,282.12,11.8,78.53,129.8,20.35,0.4,2.17,1,0,0,0
59.5,14.0,37.5,973.7,246.35,53.55,279.55,16.35,135.48,229.03,20.43,0.4,4.6,1,0,0,0
66.5,9.5,36.62,973.57,99.7,56.92,277.15,18.53,162.43,277.3,19.42,0.43,4.6,1,0,0,0
74.25,23.75,35.85,973.97,30.62,60.38,275.97,13.88,112.23,189.82,19.62,0.5,2.1,1,0,0,0
88.75,45.5,34.75,974.62,6.05,64.28,295.32,17.18,107.5,175.92,21.6,0.78,3.7,1,0,0,0
143.75,26.0,34.15,975.62,5.77,67.7,317.4,40.75,119.33,162.4,22.15,0.9,6.0,1,0,0,0
179.0,34.5,34.0,975.95,5.77,67.72,283.83,38.88,116.15,158.9,21.2,0.85,7.95,1,0,0,0
145.0,31.5,34.0,976.32,5.8,67.1,275.5,18.75,99.08,157.97,21.62,0.7,24.9,1,0,0,0
98.25,28.75,33.85,976.38,5.78,67.8,278.65,11.32,85.17,142.6,21.8,0.62,18.68,1,0,0,0
99.5,33.0,33.23,976.38,5.8,73.45,94.15,12.7,61.3,95.83,21.82,0.55,14.32,1,0,0,0
87.0,30.0,32.73,976.1,5.75,78.92,91.88,12.28,41.32,58.85,21.62,0.43,14.32,1,0,0,0
72.0,30.0,32.57,975.98,5.8,79.15,309.77,14.55,60.4,91.6,20.3,0.35,21.1,1,0,0,0
79.0,31.25,32.35,976.1,5.78,80.97,24.12,23.73,55.92,68.55,21.65,0.4,39.7,1,0,0,0
95.25,34.5,32.2,976.08,5.75,82.53,25.65,19.98,43.12,50.42,21.9,0.4,20.85,1,0,0,0
87.75,33.0,32.1,976.12,7.6,83.15,306.68,14.33,33.02,40.05,21.08,0.43,18.0,1,0,0,0
99.0,29.5,32.4,976.38,39.77,77.17,297.6,26.47,75.2,100.65,21.22,0.4,3.97,1,0,0,0
67.25,16.5,34.0,976.7,264.02,65.8,277.98,21.62,82.55,122.22,20.65,0.4,10.07,1,0,0,0
53.0,9.0,35.05,977.2,371.07,60.9,280.35,17.92,77.53,118.35,21.5,0.4,13.05,1,0,0,0
54.25,11.25,36.25,977.57,562.7,56.32,286.38,13.23,72.88,116.82,21.77,0.4,20.73,1,0,0,0
68.25,19.0,36.82,977.78,447.18,55.95,301.05,10.35,63.5,103.55,21.43,0.43,7.47,1,0,0,0
101.25,22.75,36.93,977.6,521.35,54.88,282.07,9.47,56.97,93.08,21.18,0.45,1.4,1,0,0,0
103.75,24.5,36.85,977.08,477.85,54.88,280.62,7.77,49.57,81.17,21.17,0.4,3.5,1,0,0,0
