PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
78.0,40.0,26.38,934.07,5.75,83.72,109.25,23.62,33.23,26.22,14.4,0.28,88.95,1,0,0,0
73.0,39.0,26.05,934.1,5.85,83.97,147.25,16.68,26.67,24.52,14.8,0.28,67.8,1,0,0,0
67.0,38.0,25.98,934.1,7.15,84.45,168.5,8.12,10.47,7.25,7.05,0.25,59.03,1,0,0,0
67.0,41.0,26.25,934.1,34.83,83.95,184.5,5.03,6.05,3.62,4.12,0.45,68.73,1,0,0,0
80.0,25.0,28.15,934.1,169.65,79.35,133.0,4.67,5.98,4.08,5.75,0.4,42.17,1,0,0,0
75.0,39.0,29.8,934.0,279.57,69.78,106.25,2.95,4.28,3.55,7.07,0.22,26.23,1,0,0,0
81.0,42.0,30.97,934.0,283.5,63.35,119.5,2.2,3.42,3.05,12.3,0.2,23.78,1,0,0,0
86.0,38.0,32.7,934.0,318.12,57.67,124.25,2.33,3.85,3.65,12.02,0.32,37.05,1,0,0,0
88.0,29.0,32.27,934.0,277.65,56.83,113.0,2.15,3.63,3.55,8.8,0.35,42.0,1,0,0,0
86.0,29.0,33.1,934.02,361.4,53.88,115.25,2.0,3.25,2.97,5.15,0.32,58.15,1,0,0,0
72.0,20.0,32.15,934.05,243.38,55.52,112.0,2.0,2.98,2.52,1.1,0.32,60.02,1,0,0,0
55.0,8.0,31.9,934.0,253.35,57.05,100.5,1.88,2.8,2.33,1.5,0.3,58.5,1,0,0,0
56.0,11.0,31.77,934.0,141.35,56.9,116.5,1.8,2.53,1.97,1.5,0.3,56.65,1,0,0,0
55.0,18.0,31.62,934.0,121.0,58.03,106.75,1.8,2.65,2.18,2.15,0.3,57.95,1,0,0,0
64.0,30.0,30.95,934.0,60.38,60.0,105.75,2.05,3.27,2.97,6.1,0.43,41.85,1,0,0,0
63.0,31.0,30.07,934.0,26.08,63.35,136.0,2.23,3.98,4.08,6.88,0.53,41.03,1,0,0,0
59.0,23.0,29.0,934.0,5.95,66.5,135.75,2.05,4.4,5.2,6.88,0.6,29.73,1,0,0,0
67.0,18.0,28.62,934.0,5.67,68.1,110.0,2.62,5.35,6.05,6.53,0.72,28.62,1,0,0,0
86.0,34.0,28.48,934.02,5.7,68.2,101.25,3.42,6.08,6.15,2.4,0.72,32.48,1,0,0,0
90.0,24.0,28.4,934.0,5.78,68.42,111.75,3.27,5.72,5.7,1.43,0.43,33.2,1,0,0,0
68.0,6.0,27.87,934.0,5.75,70.97,127.25,2.9,5.1,5.08,5.65,0.32,29.3,1,0,0,0
77.0,22.0,27.48,934.0,5.73,73.78,137.5,3.85,5.97,5.33,10.88,0.28,26.27,1,0,0,0
69.0,39.0,27.35,934.0,5.57,75.0,126.0,2.17,4.28,4.75,16.77,0.12,62.6,1,0,0,0
74.0,41.0,27.38,934.0,5.57,74.22,92.0,2.1,10.2,16.0,17.1,0.2,41.1,1,0,0,0
58.0,25.0,26.97,934.0,5.68,74.2,89.75,2.15,7.92,11.65,16.88,0.15,34.83,1,0,0,0
40.0,16.0,26.35,934.0,5.62,74.85,119.5,2.6,6.95,9.15,16.38,0.17,34.5,1,0,0,0
29.0,13.0,25.95,934.0,7.08,74.47,92.5,2.88,8.05,10.7,11.52,0.15,39.6,1,0,0,0
23.0,6.0,26.0,934.0,50.55,74.1,101.25,4.45,10.27,12.45,7.32,0.23,37.47,1,0,0,0
38.0,6.0,28.57,934.0,232.9,67.15,107.5,6.83,13.62,15.1,7.55,0.28,36.62,1,0,0,0
46.0,9.0,29.85,934.0,328.82,61.88,108.0,6.05,11.65,12.6,9.05,0.22,35.85,1,0,0,0
55.0,22.0,31.95,934.0,358.85,56.25,132.75,8.25,16.7,18.73,15.1,0.3,40.38,1,0,0,0
73.0,40.0,31.55,934.0,316.52,56.47,122.5,7.1,16.52,20.2,15.25,0.35,49.8,1,0,0,0
73.0,22.0,31.25,934.0,307.25,57.55,120.25,6.2,15.2,19.1,11.08,0.35,56.77,1,0,0,0
67.0,23.0,32.53,934.0,365.22,54.17,108.0,5.45,13.5,17.1,6.15,0.35,69.45,1,0,0,0
59.0,22.0,33.42,934.0,345.6,51.7,123.75,5.28,13.3,17.0,2.1,0.28,82.25,1,0,0,0
44.0,6.0,32.17,934.0,212.75,54.1,128.25,3.32,10.52,14.62,1.1,0.25,76.07,1,0,0,0
48.0,3.0,32.25,934.0,130.85,55.0,161.25,2.92,7.22,9.1,0.6,0.25,95.85,1,0,0,0
48.0,17.0,32.15,934.0,123.62,54.55,139.25,1.62,2.42,2.02,1.7,0.25,83.83,1,0,0,0
59.0,35.0,31.03,934.0,30.7,58.15,113.5,1.27,2.83,3.35,6.05,0.4,65.17,1,0,0,0
73.0,39.0,29.57,934.0,12.33,64.32,171.75,1.78,4.75,6.17,8.18,0.68,45.58,1,0,0,0
75.0,30.0,28.83,934.0,6.0,67.6,156.5,2.75,6.75,8.55,7.83,1.07,30.1,1,0,0,0
88.0,35.0,28.05,934.0,5.75,72.7,169.5,8.23,11.4,8.82,9.02,1.65,41.15,1,0,0,0
97.0,41.0,27.62,934.0,5.75,76.45,221.25,14.75,15.9,7.32,4.75,2.15,44.4,1,0,0,0
97.0,40.0,27.45,934.0,5.72,77.0,221.25,18.43,18.4,6.35,5.5,1.52,33.83,1,0,0,0
