PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
74.0,36.0,24.55,970.08,8.1,96.07,261.27,39.0,59.23,51.52,6.95,0.6,7.17,1,0,0,0
67.0,33.0,24.12,970.58,8.22,96.45,275.4,36.25,57.02,51.65,7.08,0.5,7.03,1,0,0,0
64.0,36.0,24.0,971.58,9.7,96.9,291.72,41.88,61.12,50.65,6.63,0.5,6.85,1,0,0,0
70.0,46.0,24.35,972.3,40.03,96.85,283.22,45.3,64.05,51.0,7.72,1.0,6.6,1,0,0,0
80.0,36.0,25.65,972.45,152.07,94.5,233.0,42.4,61.1,49.88,7.35,1.0,7.88,1,0,0,0
57.0,29.0,27.88,972.67,193.05,88.15,169.45,35.0,57.67,54.83,9.43,0.92,12.28,1,0,0,0
72.0,31.0,29.3,972.4,290.5,79.78,132.7,28.42,53.38,56.88,10.38,0.9,16.1,1,0,0,0
63.0,28.0,31.3,973.03,298.2,70.88,175.9,23.55,49.12,56.12,9.88,0.85,18.15,1,0,0,0
61.0,30.0,31.75,972.83,298.08,67.22,171.1,18.88,46.4,58.3,9.27,0.82,20.5,1,0,0,0
61.0,27.0,33.45,971.77,331.9,61.85,167.95,15.38,42.75,56.93,9.03,0.87,17.82,1,0,0,0
45.0,14.0,32.42,971.03,210.7,63.52,170.15,14.07,41.65,56.75,9.78,0.82,17.32,1,0,0,0
34.0,16.0,31.23,970.2,8.93,67.83,123.0,14.5,42.0,56.73,8.25,0.85,17.95,1,0,0,0
46.0,17.0,32.5,968.48,9.07,65.72,128.43,14.1,42.27,58.0,8.97,0.8,22.8,1,0,0,0
30.0,16.0,31.25,968.1,8.88,66.9,123.88,13.75,42.65,59.07,8.12,0.8,22.68,1,0,0,0
40.0,18.0,30.7,968.05,8.75,68.47,147.97,14.77,44.33,60.68,7.5,0.85,17.5,1,0,0,0
30.0,17.0,28.95,968.68,9.15,72.93,132.07,18.6,49.98,65.45,10.65,0.9,11.1,1,0,0,0
46.0,21.0,27.65,969.75,8.45,78.5,92.28,28.68,61.25,71.35,14.12,1.02,6.53,1,0,0,0
57.0,27.0,26.77,971.4,8.15,81.33,161.7,37.65,68.22,70.53,14.08,1.1,7.4,1,0,0,0
64.0,19.0,25.92,972.23,8.1,84.9,198.8,41.33,68.42,65.33,11.82,1.18,6.1,1,0,0,0
63.0,24.0,26.18,972.67,8.2,84.75,116.6,47.7,72.72,63.73,12.7,1.2,6.6,1,0,0,0
73.0,30.0,25.82,972.83,8.17,85.2,189.32,41.95,68.38,64.25,13.8,1.1,6.95,1,0,0,0
56.0,29.0,25.58,972.8,8.12,87.28,240.0,37.9,62.78,59.9,10.55,0.93,9.05,1,0,0,0
52.0,30.0,25.38,972.48,8.2,88.92,286.27,35.5,60.05,58.48,8.25,0.9,8.0,1,0,0,0
53.0,31.0,24.92,972.12,8.18,91.38,236.0,36.85,57.75,52.1,8.1,0.8,7.65,1,0,0,0
