PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
88.25,45.0,29.8,735.92,7.33,81.25,153.5,10.58,23.57,28.15,4.78,0.62,4.9,1,0,0,0
72.5,36.75,29.7,735.84,7.33,81.45,151.0,14.68,26.4,27.1,5.45,0.6,2.88,1,0,0,0
80.25,37.5,29.62,735.75,7.93,81.88,141.5,19.0,30.75,28.7,5.4,0.57,2.6,1,0,0,0
64.75,32.25,29.35,735.69,18.32,81.75,118.5,14.35,25.3,25.58,10.7,0.67,3.83,1,0,0,0
72.75,33.0,30.12,735.86,53.47,78.12,132.0,13.53,24.95,26.25,13.55,0.78,7.13,1,0,0,0
79.0,40.5,30.93,735.9,105.65,71.38,126.5,13.7,24.05,24.18,15.83,0.65,16.77,1,0,0,0
72.0,36.75,32.08,735.81,120.42,64.38,136.0,10.53,24.05,29.05,15.4,0.72,29.55,1,0,0,0
73.0,39.5,32.12,735.9,147.85,63.43,135.25,11.0,27.3,34.52,16.22,0.85,36.92,1,0,0,0
82.0,37.5,33.4,735.67,243.88,55.9,130.5,9.45,22.15,27.1,14.87,0.73,43.75,1,0,0,0
76.0,26.25,32.88,735.86,181.97,55.3,137.75,13.75,28.2,31.93,14.32,0.78,36.95,1,0,0,0
79.0,22.0,33.58,735.75,111.05,54.25,136.75,13.08,26.48,29.75,13.23,0.77,40.45,1,0,0,0
59.0,16.0,33.05,735.71,87.0,56.05,137.75,12.28,26.2,30.45,11.35,0.85,35.35,1,0,0,0
49.25,16.0,31.95,735.92,55.6,55.8,137.0,10.33,24.85,30.98,10.57,0.8,45.45,1,0,0,0
43.0,16.5,32.27,735.94,56.73,56.43,139.25,8.2,24.73,33.88,10.2,0.83,51.9,1,0,0,0
61.5,20.5,31.85,735.86,33.9,58.12,140.75,19.85,41.67,47.88,15.1,1.0,28.58,1,0,0,0
75.5,27.0,31.2,735.88,12.35,60.45,148.0,28.5,52.97,55.92,20.95,1.32,16.45,1,0,0,0
87.25,23.0,30.6,735.68,7.22,62.85,134.5,20.65,45.48,53.92,19.18,1.25,9.25,1,0,0,0
92.5,22.25,29.95,735.67,7.07,65.75,117.0,21.45,44.07,50.0,21.02,1.2,4.72,1,0,0,0
97.0,30.0,29.9,735.66,7.05,66.53,134.5,51.8,70.8,53.67,21.6,1.57,6.18,1,0,0,0
101.25,33.25,29.9,735.73,7.0,66.33,149.25,45.63,64.42,51.25,24.97,1.62,44.47,1,0,0,0
108.0,33.0,29.6,735.66,7.05,67.6,148.5,23.15,43.32,46.0,25.53,1.2,43.92,1,0,0,0
107.0,35.25,29.23,735.88,7.05,70.57,141.25,23.07,41.62,42.88,14.77,1.07,4.8,1,0,0,0
144.25,47.75,29.73,736.03,7.1,73.47,147.75,14.53,31.23,36.4,14.8,0.8,8.0,1,0,0,0
102.25,36.25,29.6,735.98,7.0,75.33,145.25,6.5,20.98,29.45,12.95,0.75,8.38,1,0,0,0
91.75,31.0,29.95,735.6,7.05,76.15,144.5,5.0,18.73,27.55,6.43,0.72,8.27,1,0,0,0
71.0,35.0,29.85,735.97,7.1,77.02,139.0,5.17,17.77,25.52,10.88,0.7,7.05,1,0,0,0
84.75,45.25,29.62,735.86,7.72,76.75,131.0,5.5,17.23,23.95,9.13,0.73,5.05,1,0,0,0
81.75,35.5,29.6,735.75,25.02,73.35,138.5,9.78,20.73,24.0,15.88,0.6,10.6,1,0,0,0
59.25,20.5,29.72,735.86,46.6,69.12,132.0,13.85,23.67,23.3,11.88,0.6,13.28,1,0,0,0
60.75,17.0,30.78,735.47,142.2,65.28,132.25,11.45,22.3,24.32,15.45,0.67,31.25,1,0,0,0
53.5,24.0,32.45,735.99,110.97,57.75,131.75,14.25,26.97,28.93,18.1,0.67,53.1,1,0,0,0
78.75,33.75,33.15,735.73,195.43,54.95,123.75,9.07,25.03,33.15,17.1,0.82,47.8,1,0,0,0
79.75,27.25,33.12,735.83,254.45,55.32,130.5,12.15,28.6,35.2,14.73,0.9,51.55,1,0,0,0
79.75,28.25,33.62,735.79,197.95,53.23,125.25,11.22,30.65,40.4,12.8,0.75,61.2,1,0,0,0
65.0,27.75,33.17,735.79,127.6,54.68,136.75,8.68,26.8,37.1,13.38,0.75,83.25,1,0,0,0
67.5,25.75,33.12,735.9,93.22,54.55,142.0,8.65,25.7,35.02,15.93,0.7,84.98,1,0,0,0
66.5,28.75,33.05,735.84,69.65,54.7,138.5,6.18,25.07,37.65,13.83,0.75,77.4,1,0,0,0
65.25,22.5,32.98,735.83,53.75,54.53,126.5,3.03,17.8,28.8,18.0,0.68,94.78,1,0,0,0
60.25,24.25,32.4,735.67,15.08,56.17,146.75,7.03,31.4,48.25,14.6,0.83,58.17,1,0,0,0
69.25,26.0,32.1,735.86,14.45,57.95,111.75,2.8,24.35,41.45,12.48,0.8,47.65,1,0,0,0
69.0,28.75,31.68,735.86,7.15,60.5,96.5,10.27,38.23,56.17,5.25,1.03,18.8,1,0,0,0
87.25,29.75,31.43,735.75,7.1,62.82,85.75,28.47,57.25,63.97,6.4,1.5,5.95,1,0,0,0
122.75,34.75,31.02,735.81,7.05,65.15,59.0,48.67,72.25,61.2,9.33,1.63,6.58,1,0,0,0
121.5,36.75,31.02,735.94,7.1,65.95,102.0,56.4,78.9,61.9,8.02,1.88,80.52,1,0,0,0
157.75,49.75,30.78,735.81,7.1,68.4,112.0,66.25,85.3,58.8,11.9,2.13,42.73,1,0,0,0
230.25,65.25,30.65,735.58,7.1,69.78,133.0,63.5,80.47,53.98,28.15,1.5,10.32,1,0,0,0
197.75,77.25,30.42,735.77,7.07,71.38,118.0,56.68,73.82,51.92,28.8,1.2,44.5,1,0,0,0
222.25,96.0,30.4,735.81,7.12,72.45,155.0,38.75,56.88,47.53,21.27,0.78,11.8,1,0,0,0
200.5,69.75,30.2,735.75,7.12,73.45,146.0,18.4,35.3,38.17,21.2,0.47,4.78,1,0,0,0
144.25,49.0,30.1,735.84,7.05,75.58,162.5,14.78,28.78,31.43,24.17,0.45,6.78,1,0,0,0
119.25,58.75,30.1,736.11,7.6,76.0,164.25,17.73,30.35,29.88,24.13,0.47,26.7,1,0,0,0
110.5,50.5,30.15,735.86,21.0,75.68,60.25,27.38,40.33,33.9,22.57,0.9,77.5,1,0,0,0
123.75,46.5,30.6,735.97,38.33,72.22,106.25,13.07,28.6,33.72,21.68,0.82,38.27,1,0,0,0
103.5,44.5,30.7,735.75,50.83,71.17,116.0,12.65,25.98,29.48,24.98,0.75,16.23,1,0,0,0
73.5,35.5,31.43,735.73,104.85,67.9,111.75,8.57,22.23,28.62,23.42,0.75,22.45,1,0,0,0
83.25,40.5,32.75,735.84,200.68,60.95,120.75,8.7,25.55,34.62,20.5,0.85,40.58,1,0,0,0
102.25,44.25,32.55,736.01,133.97,60.35,134.25,11.15,31.77,42.65,25.77,0.97,53.7,1,0,0,0
104.75,41.5,32.5,735.73,199.45,58.8,129.5,10.28,24.98,31.2,21.98,0.75,37.0,1,0,0,0
79.0,16.5,33.02,735.86,122.05,56.52,135.25,6.45,18.57,25.02,21.53,0.67,57.77,1,0,0,0
66.0,27.75,33.15,735.9,101.92,55.38,145.75,6.4,17.9,23.83,18.85,0.57,77.1,1,0,0,0
64.25,29.75,33.25,736.03,68.45,54.45,144.25,3.4,16.45,25.67,22.15,0.62,95.6,1,0,0,0
70.75,30.25,33.02,735.83,51.2,55.23,135.75,2.33,13.82,22.45,17.7,0.57,115.3,1,0,0,0
79.5,34.5,32.98,736.07,39.6,54.4,125.75,3.67,17.83,27.9,23.53,0.6,87.27,1,0,0,0
75.5,34.25,32.58,735.81,18.03,56.25,127.0,5.45,23.2,35.27,18.0,0.72,64.65,1,0,0,0
67.75,29.33,31.83,735.79,7.3,63.5,88.5,7.22,31.57,48.35,18.32,1.02,34.97,1,0,0,0
99.5,30.25,31.4,735.88,7.07,66.4,127.0,13.25,34.95,45.35,19.12,1.15,17.82,1,0,0,0
112.25,32.0,31.25,735.83,7.0,66.2,133.75,14.28,34.33,42.6,17.3,1.07,18.73,1,0,0,0
100.75,36.0,31.0,735.79,7.03,68.47,130.0,8.58,27.8,39.15,15.5,0.92,23.57,1,0,0,0
98.75,38.0,30.73,735.83,7.0,70.67,147.5,4.88,24.5,38.6,17.6,0.9,15.42,1,0,0,0
94.0,33.75,30.52,736.07,7.03,70.33,154.0,7.33,27.6,40.65,6.35,0.8,12.25,1,0,0,0
87.0,31.5,30.48,735.98,6.97,71.22,142.0,5.18,25.4,39.88,6.05,0.7,23.3,1,0,0,0
79.75,37.5,30.3,735.92,7.03,73.67,180.0,3.6,23.45,38.6,8.72,0.75,16.95,1,0,0,0
101.75,45.75,30.2,736.11,7.0,75.55,161.5,8.32,27.58,39.12,4.97,0.8,8.1,1,0,0,0
126.25,61.0,30.15,735.96,7.03,77.38,168.5,12.62,26.9,31.27,8.3,0.88,6.88,1,0,0,0
132.5,71.75,30.0,735.79,7.6,78.9,173.5,17.07,29.35,28.97,11.3,0.9,6.7,1,0,0,0
142.75,69.25,30.12,735.75,20.48,79.3,155.0,31.3,42.08,31.08,18.8,0.9,10.4,1,0,0,0
157.75,74.5,30.55,735.73,32.75,76.78,144.0,29.23,42.43,34.98,15.78,1.05,15.25,1,0,0,0
182.75,84.25,31.17,735.9,69.22,72.28,140.0,18.88,37.48,41.57,19.75,1.1,19.15,1,0,0,0
203.75,100.25,32.17,735.79,94.35,64.62,113.5,13.1,40.8,56.65,22.43,1.15,28.15,1,0,0,0
197.75,90.25,32.67,735.81,139.75,60.6,98.0,6.4,26.88,40.8,25.65,0.95,50.7,1,0,0,0
117.5,56.75,33.33,735.66,221.55,56.43,114.75,3.15,20.67,33.97,24.47,0.9,99.2,1,0,0,0
111.25,53.0,34.67,735.77,186.88,50.55,110.25,3.07,18.8,30.62,25.0,0.57,103.4,1,0,0,0
106.0,51.0,34.25,735.64,139.4,50.97,123.75,3.95,22.0,35.38,26.4,0.6,71.35,1,0,0,0
97.0,41.25,34.53,735.88,111.68,49.88,139.5,6.05,22.45,32.9,22.55,0.62,53.65,1,0,0,0
72.5,29.75,34.02,735.94,95.15,51.93,114.75,4.8,17.82,26.2,16.6,0.57,52.92,1,0,0,0
77.0,28.5,34.1,735.97,87.07,52.77,121.75,3.62,15.0,22.55,21.05,0.5,58.2,1,0,0,0
73.0,29.0,33.62,736.09,43.02,55.03,131.75,4.97,21.2,32.25,26.2,0.57,42.05,1,0,0,0
88.75,35.0,32.97,735.88,18.5,59.83,138.0,17.95,44.42,56.02,19.2,1.38,28.58,1,0,0,0
97.25,34.5,32.45,735.94,7.62,61.15,117.0,17.85,40.98,49.7,12.98,1.4,19.22,1,0,0,0
105.0,32.25,31.65,735.64,7.15,64.7,98.75,9.15,35.83,53.35,9.85,1.2,14.72,1,0,0,0
81.75,31.5,31.7,735.86,7.07,64.6,119.0,20.38,47.33,57.8,11.55,1.48,6.43,1,0,0,0
112.25,36.0,31.67,735.66,7.0,65.0,99.5,26.12,53.03,59.62,15.2,1.5,14.6,1,0,0,0
112.0,38.25,31.55,735.51,7.05,67.28,90.0,12.55,38.85,53.8,11.87,1.23,8.93,1,0,0,0
102.5,43.75,31.32,735.6,7.1,68.4,95.0,10.53,34.83,49.3,24.23,0.9,6.92,1,0,0,0
112.75,41.5,31.28,735.58,7.07,69.07,142.25,23.27,46.25,51.33,27.63,1.0,9.6,1,0,0,0
120.25,45.75,31.12,735.77,7.1,69.55,115.25,29.03,49.87,49.3,25.9,1.18,7.75,1,0,0,0
110.75,43.25,30.98,735.77,7.03,70.03,94.0,14.2,31.58,37.65,25.43,0.95,6.05,1,0,0,0
93.0,38.0,30.8,735.99,7.08,71.45,31.75,23.7,40.25,39.33,23.7,1.0,5.97,1,0,0,0
99.0,38.0,30.52,735.99,7.52,74.12,178.25,19.93,35.38,35.98,21.7,0.97,4.5,1,0,0,0
103.75,47.25,30.65,736.01,18.65,74.25,150.5,28.2,42.6,36.9,17.02,1.0,8.35,1,0,0,0
167.75,73.25,31.18,735.75,52.4,71.17,148.75,14.3,33.53,41.05,15.07,0.93,9.45,1,0,0,0
157.25,73.25,32.02,735.75,93.88,66.17,85.25,7.9,30.9,45.98,20.2,0.95,22.77,1,0,0,0
160.5,77.25,32.8,735.77,105.45,60.77,70.0,3.45,17.52,27.65,19.9,0.72,52.9,1,0,0,0
136.75,44.5,32.88,735.67,53.02,59.65,114.75,2.6,16.83,27.62,19.7,0.68,67.22,1,0,0,0
102.0,49.5,31.2,735.79,28.27,67.88,136.25,13.75,40.32,54.75,18.0,1.07,26.72,1,0,0,0
94.5,33.5,29.82,735.79,93.1,75.7,122.0,23.32,42.62,44.38,21.93,1.0,15.1,1,0,0,0
31.25,11.5,30.8,735.79,118.8,72.35,112.5,10.78,29.43,38.83,20.02,0.93,26.15,1,0,0,0
48.75,25.25,31.73,736.12,97.33,65.72,106.75,11.1,28.95,37.5,17.67,0.82,48.33,1,0,0,0
65.5,33.25,31.12,736.05,32.0,68.85,83.25,3.15,23.95,40.15,21.15,0.88,42.4,1,0,0,0
77.5,30.75,30.97,735.81,49.5,71.17,76.75,3.9,31.12,52.55,21.1,1.08,35.98,1,0,0,0
88.25,38.0,31.25,735.9,33.2,67.88,134.5,3.75,33.5,57.3,24.27,1.1,36.8,1,0,0,0
86.25,36.75,31.17,735.66,15.47,69.5,72.0,3.17,38.1,66.75,21.57,1.23,33.62,1,0,0,0
113.5,47.0,30.85,735.88,7.53,72.2,47.25,7.2,41.85,67.7,20.17,1.4,15.53,1,0,0,0
136.25,58.0,30.6,735.92,7.27,73.9,46.75,16.45,45.27,59.9,19.33,1.4,4.38,1,0,0,0
124.5,42.75,30.55,735.54,7.25,75.33,47.0,26.38,52.98,59.15,20.27,1.43,3.42,1,0,0,0
112.25,38.0,30.5,735.92,7.28,76.05,71.25,22.73,45.9,51.42,22.85,1.3,5.9,1,0,0,0
