PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
59.0,38.25,30.8,977.15,11.92,84.2,258.07,1.55,10.82,17.93,8.12,0.97,47.1,1,0,0,0
62.0,44.0,30.7,977.42,12.4,84.08,218.53,1.0,10.43,18.07,6.1,0.93,3.4,1,0,0,0
62.5,42.0,30.62,977.95,13.82,84.25,247.1,1.45,10.88,18.22,5.05,1.0,1.3,1,0,0,0
65.25,46.25,30.77,978.58,34.77,83.12,138.2,2.38,12.05,19.07,5.22,1.02,14.12,1,0,0,0
67.5,47.0,31.85,978.55,107.95,77.75,248.55,2.55,12.08,18.77,6.68,0.97,29.6,1,0,0,0
62.75,38.0,32.7,978.58,227.18,72.08,265.77,1.52,10.83,18.08,6.28,0.92,11.2,1,0,0,0
59.0,35.5,33.55,978.4,323.88,65.82,272.98,1.4,10.1,16.8,5.48,0.9,7.62,1,0,0,0
47.5,26.0,34.55,978.83,444.35,61.52,268.45,1.35,10.15,16.98,5.23,0.88,10.6,1,0,0,0
41.75,20.0,34.75,978.75,434.95,59.4,263.07,1.4,10.57,17.75,11.07,0.9,13.85,1,0,0,0
46.25,18.25,35.5,978.25,406.97,56.6,268.68,1.33,10.55,17.83,10.85,0.82,19.52,1,0,0,0
42.5,12.5,34.6,977.75,228.35,58.5,272.75,1.12,10.32,17.7,10.9,0.85,16.4,1,0,0,0
37.0,10.5,34.83,977.33,361.9,58.88,269.3,1.5,10.83,18.03,12.57,0.83,13.1,1,0,0,0
34.0,8.75,35.15,976.48,406.95,57.55,266.43,4.6,11.1,13.8,17.65,2.27,18.7,1,0,0,0
33.0,8.25,34.97,976.17,311.38,58.52,276.15,6.5,37.5,60.4,17.65,0.8,7.9,1,0,0,0
34.0,10.25,34.25,976.02,113.97,61.23,282.48,8.5,52.3,85.4,5.47,1.02,8.62,1,0,0,0
47.75,14.5,33.6,976.38,52.05,63.53,283.07,13.2,61.1,94.65,5.78,1.23,7.48,1,0,0,0
59.25,17.75,32.85,976.9,12.8,66.1,279.8,20.25,71.12,102.8,6.65,1.45,5.67,1,0,0,0
76.75,24.25,32.42,977.83,12.4,68.32,287.88,15.12,66.32,101.62,7.93,1.3,5.7,1,0,0,0
69.5,25.5,32.25,978.3,12.32,69.05,281.03,17.02,69.67,105.05,8.2,1.2,5.08,1,0,0,0
55.5,17.75,32.15,978.52,12.4,69.42,277.38,6.42,54.5,92.58,7.27,0.92,6.6,1,0,0,0
46.75,17.75,31.8,978.67,12.55,72.33,263.95,5.25,55.17,95.65,4.0,0.9,5.95,1,0,0,0
54.75,22.75,31.52,978.65,12.45,75.07,257.23,4.25,55.2,97.25,4.0,1.05,5.75,1,0,0,0
