PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
76.0,43.33,27.7,973.95,6.28,77.82,24.27,5.65,23.67,17.98,2.17,0.55,4.78,1,0,0,0
60.75,37.0,27.65,974.15,6.4,77.48,23.1,4.95,20.4,15.47,2.17,0.43,13.7,1,0,0,0
54.25,37.25,27.5,974.58,7.07,78.1,14.38,4.1,20.55,16.48,2.15,0.58,9.88,1,0,0,0
66.75,46.5,27.77,975.03,43.5,77.02,15.0,7.35,23.98,16.62,2.35,0.67,4.02,1,0,0,0
76.5,45.0,29.13,975.25,149.97,70.12,27.52,6.67,22.32,15.6,2.27,0.62,6.22,1,0,0,0
81.67,45.5,30.27,975.4,239.57,62.2,29.0,3.17,17.13,13.93,2.4,0.55,11.23,1,0,0,0
83.0,46.0,31.23,975.28,270.07,56.1,44.73,2.58,16.85,14.35,2.38,0.57,17.2,1,0,0,0
82.0,43.5,32.38,975.72,334.05,51.52,32.7,4.15,16.48,12.48,2.23,0.53,19.32,1,0,0,0
84.0,35.75,33.75,975.58,486.37,46.65,32.25,5.03,17.78,12.8,2.37,0.55,30.77,1,0,0,0
96.25,30.5,33.77,974.98,482.05,46.12,36.95,0.93,12.8,11.85,2.37,0.5,31.38,1,0,0,0
81.5,17.0,33.43,974.6,340.58,46.9,29.7,4.0,13.05,9.1,2.23,0.4,30.12,1,0,0,0
63.5,18.25,32.58,973.92,279.15,55.73,81.3,5.2,21.1,15.92,2.33,0.55,20.52,1,0,0,0
63.5,19.75,34.5,973.05,492.65,45.75,37.2,0.62,11.78,11.15,2.43,0.45,24.6,1,0,0,0
60.0,12.67,34.83,972.9,354.53,44.37,65.37,3.5,16.7,13.4,1.97,0.5,20.92,1,0,0,0
92.75,13.5,34.83,972.9,354.53,44.37,65.37,3.5,16.7,13.4,1.97,0.55,7.0,1,0,0,0
106.0,18.25,34.83,972.9,354.53,44.37,65.37,3.5,16.7,13.4,1.97,0.8,1.1,1,0,0,0
121.0,19.0,34.83,972.9,354.53,44.37,65.37,3.5,16.7,13.4,1.97,0.45,18.0,1,0,0,0
128.0,24.0,29.8,975.03,7.67,62.57,32.35,8.9,34.03,25.2,2.63,0.83,7.5,1,0,0,0
124.0,25.0,29.67,975.3,6.65,62.77,45.57,12.82,42.18,29.15,2.48,1.03,4.45,1,0,0,0
102.75,26.75,29.55,975.6,6.78,62.7,25.18,7.93,35.45,27.5,2.53,0.77,4.67,1,0,0,0
72.75,22.0,29.25,975.62,6.8,63.85,36.97,4.42,30.45,26.0,1.93,0.7,3.7,1,0,0,0
63.75,19.0,29.05,975.7,8.1,65.15,19.85,4.42,30.45,26.0,1.35,0.65,3.62,1,0,0,0
62.5,22.75,29.05,975.7,8.1,65.15,19.85,4.42,30.45,26.0,1.35,0.7,0.1,1,0,0,0
79.0,34.0,29.05,975.7,8.1,65.15,19.85,4.42,30.45,26.0,1.35,0.0,1.1,1,0,0,0
64.0,38.0,29.05,975.7,8.1,65.15,19.85,4.42,30.45,26.0,1.35,0.0,14.22,1,0,0,0
59.0,32.5,27.7,975.6,8.5,70.15,63.8,2.5,14.2,11.6,3.27,0.15,10.52,1,0,0,0
42.75,16.0,27.55,975.65,9.48,69.55,83.67,2.08,12.48,10.4,3.45,0.32,8.25,1,0,0,0
44.75,15.5,28.05,975.8,57.08,67.15,71.5,6.43,19.1,12.6,3.8,0.47,6.2,1,0,0,0
66.75,13.5,29.45,976.12,231.1,58.22,64.4,6.8,18.1,11.25,3.47,0.52,7.9,1,0,0,0
84.75,12.0,30.05,976.45,334.05,55.55,83.8,6.5,19.6,13.1,1.85,0.57,8.53,1,0,0,0
90.25,12.25,30.05,976.45,334.05,55.55,83.8,6.5,19.6,13.1,1.85,0.55,6.2,1,0,0,0
83.0,14.67,33.2,977.1,370.8,45.5,38.3,5.05,21.15,15.95,1.77,0.45,26.15,1,0,0,0
109.0,19.25,33.03,976.92,495.18,46.28,58.6,3.35,15.02,11.72,2.73,0.4,28.3,1,0,0,0
95.0,22.75,33.88,976.37,620.58,43.6,76.12,1.95,11.8,9.88,2.77,0.4,29.55,1,0,0,0
93.5,22.25,34.35,975.73,526.42,42.2,82.13,2.83,14.5,11.73,1.92,0.5,29.25,1,0,0,0
100.25,21.25,34.65,974.9,454.3,42.33,82.15,3.45,13.68,10.18,2.03,0.4,31.0,1,0,0,0
79.5,16.67,34.88,974.27,459.73,42.38,110.07,2.8,12.95,10.12,1.4,0.4,34.52,1,0,0,0
