PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
71.25,35.25,31.77,976.55,1.98,81.93,63.45,9.97,22.28,12.33,3.82,1.07,38.1,1,0,0,0
64.75,32.0,31.7,976.83,2.05,81.18,38.65,8.32,21.0,12.7,3.92,1.07,4.08,1,0,0,0
61.25,29.0,31.45,977.4,3.48,82.98,36.98,13.05,28.08,15.0,4.35,1.07,28.2,1,0,0,0
63.25,29.0,31.45,977.73,27.25,83.43,11.72,19.17,32.8,13.62,4.6,1.35,36.68,1,0,0,0
69.0,31.75,32.6,977.88,184.38,76.95,14.65,16.0,28.98,12.93,4.4,1.32,6.75,1,0,0,0
78.5,39.0,34.0,978.12,294.38,68.78,67.72,10.48,22.9,12.43,4.35,1.28,12.17,1,0,0,0
90.5,34.75,34.92,977.93,348.3,63.5,62.75,8.72,20.18,11.5,4.15,1.2,3.4,1,0,0,0
90.75,30.25,35.58,978.25,440.82,60.4,43.1,6.47,17.5,11.0,3.55,1.2,5.28,1,0,0,0
76.0,25.25,35.85,978.2,388.55,58.4,44.0,4.33,15.38,11.05,3.42,1.12,9.25,1,0,0,0
67.75,17.75,35.77,977.58,431.52,58.55,36.4,3.33,14.43,11.1,3.5,1.2,9.48,1,0,0,0
59.5,18.0,35.73,977.2,233.85,58.1,51.8,3.05,12.88,9.88,4.33,1.2,9.12,1,0,0,0
54.0,11.75,35.02,976.75,306.35,61.8,55.05,3.12,13.45,10.3,4.57,1.2,8.18,1,0,0,0
52.25,11.75,35.67,975.75,228.25,58.88,68.35,3.13,13.0,9.83,4.53,1.2,9.55,1,0,0,0
53.5,13.5,35.3,975.5,87.0,60.8,95.15,3.05,12.8,9.78,4.67,1.2,9.15,1,0,0,0
44.0,12.5,34.8,975.48,62.97,61.6,86.4,3.92,15.22,11.35,4.75,1.2,8.17,1,0,0,0
41.5,13.25,34.1,975.77,18.5,64.97,109.85,4.95,21.92,17.0,4.2,1.38,6.0,1,0,0,0
54.5,14.0,33.27,976.4,2.15,69.33,118.65,9.2,33.47,24.25,4.43,1.5,3.0,1,0,0,0
61.25,22.25,32.85,977.33,1.92,70.47,96.65,8.33,29.05,20.73,4.62,1.5,3.45,1,0,0,0
58.75,19.25,32.77,977.75,1.92,70.53,87.62,7.25,26.98,19.73,4.72,1.5,3.5,1,0,0,0
55.5,17.25,32.75,978.0,1.92,71.12,90.55,6.65,25.6,18.98,4.85,1.28,3.6,1,0,0,0
50.25,18.5,32.48,978.07,1.9,72.85,91.72,5.42,21.38,15.98,4.75,1.2,3.92,1,0,0,0
65.0,22.25,32.12,978.07,1.95,75.45,62.33,8.25,26.98,18.8,5.03,1.23,2.93,1,0,0,0
84.25,27.5,32.25,977.9,1.82,75.08,48.85,5.65,21.6,15.95,4.68,1.1,33.4,1,0,0,0
69.0,23.5,32.05,977.7,1.9,76.67,57.97,6.4,19.7,13.25,3.5,1.15,29.25,1,0,0,0
59.5,22.75,31.88,977.85,1.92,75.53,87.88,5.23,15.0,9.75,4.03,1.15,7.62,1,0,0,0
34.5,13.75,31.45,977.88,1.92,76.3,100.28,4.47,11.5,7.05,4.42,1.1,4.65,1,0,0,0
18.25,6.5,31.23,977.98,3.38,76.1,92.4,5.43,15.8,10.35,4.35,1.1,3.55,1,0,0,0
18.25,5.0,31.23,978.15,23.95,75.38,100.1,6.38,15.25,8.87,4.53,1.15,4.08,1,0,0,0
20.5,6.75,32.65,978.42,220.38,69.0,79.5,7.6,15.4,7.47,4.23,1.2,4.57,1,0,0,0
37.5,11.25,34.12,978.88,371.73,62.85,83.4,6.75,14.6,7.8,4.2,1.2,6.38,1,0,0,0
51.75,10.0,35.33,979.38,505.73,58.67,99.2,7.43,17.4,9.97,4.35,1.2,8.22,1,0,0,0
64.25,14.0,35.3,979.58,500.42,58.68,87.7,5.93,15.65,9.7,3.45,1.2,10.7,1,0,0,0
67.0,17.5,35.53,979.48,459.23,58.1,70.08,4.55,15.28,10.72,3.38,1.23,12.43,1,0,0,0
58.25,17.5,36.33,979.0,544.98,55.73,100.68,3.95,13.12,9.17,3.4,1.22,13.1,1,0,0,0
42.0,12.5,37.05,978.27,680.35,53.2,85.02,3.1,11.83,8.75,4.17,1.27,12.83,1,0,0,0
45.0,11.75,36.77,977.42,380.6,53.75,88.87,2.35,10.7,8.2,4.1,1.15,14.6,1,0,0,0
43.25,15.0,36.0,976.85,195.62,55.68,112.8,2.23,10.35,8.12,4.15,1.12,15.82,1,0,0,0
39.5,17.75,35.58,976.45,80.47,57.28,99.92,1.82,9.98,8.15,4.25,1.15,16.68,1,0,0,0
46.75,16.75,34.83,976.27,27.25,59.88,121.85,2.52,13.7,11.2,4.2,1.13,13.27,1,0,0,0
58.75,18.0,34.08,976.55,9.43,64.03,137.65,9.07,38.9,29.85,3.9,1.55,4.9,1,0,0,0
68.5,24.25,33.47,977.18,2.1,67.32,130.05,10.9,39.55,28.6,4.38,1.65,4.0,1,0,0,0
69.5,26.25,33.03,977.65,1.73,69.82,180.75,35.55,66.5,30.85,4.6,1.95,2.62,1,0,0,0
90.25,30.75,32.45,978.25,1.65,74.6,176.6,41.38,67.83,26.45,4.92,1.93,3.1,1,0,0,0
123.5,36.0,32.23,978.25,1.7,77.0,155.47,160.22,185.95,25.48,5.95,2.6,3.0,1,0,0,0
170.75,43.5,31.92,978.48,1.7,78.33,175.55,122.1,145.97,24.02,6.0,2.12,5.42,1,0,0,0
126.75,39.75,31.8,978.27,1.67,79.43,172.85,96.1,118.65,22.57,5.7,2.0,6.32,1,0,0,0
129.75,42.5,31.65,977.95,1.65,81.03,191.0,98.45,118.72,20.35,5.43,2.0,7.7,1,0,0,0
144.5,45.75,31.68,977.75,1.8,81.38,124.6,81.7,99.3,17.4,3.75,2.0,24.42,1,0,0,0
129.75,56.5,31.62,977.65,1.95,81.33,95.43,66.25,85.27,19.05,3.95,2.0,20.25,1,0,0,0
125.0,66.25,31.65,977.78,2.0,80.15,80.92,44.88,63.12,18.28,4.05,2.0,42.5,1,0,0,0
