PM10 (ug/m3),PM2.5(ug/m3),AT(),BP(mmHg),SR(W/mt2),RH(%),WD(degree),NO(ug/m3),NOx(ppb),NO2(ug/m3),SO2(ug/m3),CO(mg/m3),Ozone(ug/m3),Monsoon,Post-Monsoon,Summer,Winter
62.0,40.5,28.0,975.48,4.0,81.03,335.15,21.38,41.05,44.42,5.97,0.7,12.1,1,0,0,0
60.0,41.0,27.95,975.7,3.95,81.47,324.27,20.55,43.62,50.48,4.75,0.7,2.65,1,0,0,0
65.5,43.75,27.85,976.27,5.82,83.27,325.15,24.67,47.33,51.12,4.95,0.75,4.95,1,0,0,0
73.0,33.25,27.9,976.75,41.05,82.85,314.9,32.03,52.7,50.05,4.62,0.75,7.53,1,0,0,0
69.0,30.75,28.45,976.8,182.43,76.53,329.35,34.6,52.88,46.4,4.6,0.7,6.8,1,0,0,0
57.0,31.5,28.65,976.9,261.5,71.85,352.75,23.12,41.33,42.22,4.6,0.7,10.9,1,0,0,0
56.0,34.75,28.97,976.73,366.8,67.38,93.8,11.53,27.17,29.0,4.8,0.73,22.28,1,0,0,0
52.25,30.25,29.35,977.15,391.43,62.9,251.6,76.4,242.6,352.4,2.73,0.7,22.02,1,0,0,0
49.25,27.25,29.62,976.95,488.35,60.52,345.35,2.33,14.07,22.95,1.62,0.65,26.75,1,0,0,0
42.75,22.0,29.77,976.4,565.62,57.3,341.4,2.9,17.57,28.55,4.6,0.6,30.38,1,0,0,0
29.5,11.75,29.85,975.95,587.35,56.22,346.27,3.42,20.02,32.42,5.7,0.6,27.8,1,0,0,0
27.0,8.0,29.55,975.43,384.62,58.75,181.8,3.9,20.18,32.0,7.48,0.6,30.95,1,0,0,0
25.25,8.25,29.75,974.5,542.95,57.67,101.3,3.67,21.12,34.08,6.35,0.7,40.1,1,0,0,0
29.25,10.25,29.4,974.3,157.97,60.0,11.75,3.5,22.18,36.38,7.32,0.7,36.9,1,0,0,0
32.0,14.0,29.43,974.25,133.35,59.88,97.2,4.1,24.0,38.77,7.68,0.7,37.7,1,0,0,0
36.25,13.25,29.15,974.6,24.8,61.75,100.25,4.78,25.05,39.8,8.77,0.75,37.6,1,0,0,0
32.25,10.5,28.62,975.2,5.03,69.22,20.85,8.35,33.15,49.6,8.4,0.88,16.48,1,0,0,0
41.5,11.25,28.4,976.18,4.47,72.65,6.72,18.62,47.08,59.92,8.38,1.1,7.67,1,0,0,0
58.25,17.5,28.3,976.6,4.5,74.57,95.6,26.25,54.3,61.92,9.4,0.97,10.57,1,0,0,0
63.75,18.25,28.35,976.9,4.45,73.9,16.62,38.35,64.15,61.8,10.15,1.23,7.8,1,0,0,0
73.25,23.5,28.28,977.0,4.5,73.85,98.0,38.88,64.85,62.3,9.25,0.95,7.5,1,0,0,0
67.0,22.75,28.27,977.0,4.4,74.78,334.2,28.7,56.32,61.9,11.07,0.8,22.55,1,0,0,0
87.75,34.25,28.23,976.75,4.45,76.18,337.93,24.82,49.27,54.6,9.83,0.75,42.85,1,0,0,0
75.25,33.5,28.12,976.6,4.45,77.35,342.73,24.82,49.27,54.6,9.83,0.75,13.73,1,0,0,0
61.75,26.25,28.0,976.73,4.5,77.62,269.47,16.5,35.55,41.48,8.82,0.7,13.6,1,0,0,0
44.0,17.5,27.85,976.8,4.5,77.9,182.0,16.12,39.48,49.45,9.08,0.62,15.12,1,0,0,0
32.75,14.0,27.62,976.83,6.47,79.2,21.92,15.88,39.7,50.27,8.72,0.5,9.88,1,0,0,0
17.75,7.75,27.88,977.05,62.2,74.47,19.18,15.25,37.35,46.85,9.08,0.5,9.1,1,0,0,0
19.75,6.5,28.27,977.33,198.2,69.75,16.32,12.85,30.93,38.45,9.63,0.5,11.58,1,0,0,0
19.25,5.25,28.67,977.73,370.55,65.65,15.88,10.6,26.4,33.4,9.75,0.5,14.83,1,0,0,0
22.5,7.25,29.1,978.1,512.62,61.95,8.92,8.53,25.0,33.92,9.23,0.63,23.38,1,0,0,0
35.0,14.25,29.15,978.27,388.18,60.95,89.82,5.08,24.73,38.73,10.65,0.7,44.85,1,0,0,0
49.25,23.0,29.38,978.17,606.95,59.38,11.18,4.35,24.38,39.1,10.85,0.7,40.62,1,0,0,0
46.5,20.0,29.45,977.65,482.4,57.93,98.25,3.35,21.5,35.27,10.02,0.7,39.57,1,0,0,0
43.5,19.75,29.77,977.0,558.02,55.68,19.23,3.0,21.85,36.52,10.8,0.7,39.2,1,0,0,0
39.25,17.0,29.95,976.15,537.57,54.05,13.9,3.05,23.45,39.4,11.0,0.6,40.12,1,0,0,0
39.0,11.75,29.95,975.62,439.68,53.88,101.12,3.9,25.05,41.1,9.95,0.6,38.3,1,0,0,0
